wav_path,ground_truth
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.12.wav,hooh gua si sio tan beh tshut mng kuann beh sing se sin khu se se leh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.13.wav,gua ma ai lau si kan se tsng tann pan ah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.14.wav,bo li e bin si u gua tua thai su iau se hiah ku
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.15.wav,heh heh lang tu tsiah teh tshi e tsai be e tsui hun koo kah kham ha koo
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.16.wav,tsit ma beh loh tsng tong lian ma ai khah kang hu eh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.17.wav,guan lai ooh siunn kong li e bin phue kam u tshiunn gu phe hiah tua tiunn
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.18.wav,guan lai si leh thiah tsong hong
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.19.wav,ho ah uann li ah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.2.wav,ngoo tan e beh se sin khu neh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.3.wav,heh gua long tshuan ho ah li tsiah beh jip khi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.4.wav,ho lah hoo gua sing se tsit e a bin
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.5.wav,a hue li ti lai te tshong siann li ho ah bue
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.6.wav,li leh pian soo ooh koh e tang tshiunn kua
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.7.wav,an tsuann pi kiat ooh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.8.wav,bo lah liam mi to tshut lai lah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.9.wav,li se bin ai koh se gua ku
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.0.wav,bun tsiong it
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.1.wav,iunn tho tau
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.10.wav,tshun tshiu ka tshuah loh lai
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.11.wav,siong kui poo ku
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.12.wav,m tsai si siann mih uann ko so
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.13.wav,gim ti tshiu te a kiann tng lai tshan thiann lai te
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.14.wav,thau ke kong tse si e sai tsu lai tsiah tshit tho e iunn tho tau
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.15.wav,kah tsin tsiann e kue tsi a iunn tho u lak liam e sin khu lai pi phing
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.16.wav,tsit khuan tau a tsiah si liam
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.17.wav,m tsiah u lang kong si si kak tau sit tau
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.18.wav,bian ak pui koh be tioh thang
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.19.wav,gau tua koh tshau tsian
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.2.wav,tsok tsia na tshun sui
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.20.wav,huan hu gua ka ta lian e tsi theh tng khi tsing
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.21.wav,tang tseh kue bo gua ku
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.22.wav,gua ka tau ngeh lai te e tsi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.23.wav,sui liap a khng jip khi huat tsai e phun a
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.24.wav,tsit le pai au tsing king u tshut inn
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.25.wav,koh kue nng le pai au
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.26.wav,u sio khua thiu kuan e tau tsang kiong beh nng kha loh lai
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.27.wav,bo tshue soo tsai ka sua tsai bue suah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.28.wav,thau bue ke kiong tsap liap e tsi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.29.wav,u uah e tsiah pueh tsang
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.3.wav,ku ni e kuann lang
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.30.wav,gua u tsham kho bang loo ting kuan e poo soo
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.31.wav,tshin tshai tshue u khah tsah ng e soo tsai tio ka tsai loh khi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.32.wav,tsiau kong bo jit thau kng e soo tsai
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.33.wav,hue tshau tsha tshiu a si bo huat too senn thuann e
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.34.wav,gua ma tsai iann tsit e to li
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.35.wav,ho ka tsai iunn tho tau i ka ki e tshue sio keh piah e tshiu a lai suan tin
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.36.wav,khi khi siong ting kuan e tshiu ue thing hau jit thau kong lai tsiau i
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.37.wav,lan lang tshit gueh e si tsun u khui hue kiat tau ngeh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.38.wav,m koh long iau bue tua kau tsai to hua khi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.39.wav,ua beh tshit ko gueh bo siu sing kah puann ngeh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.4.wav,khi siu nia e tshan thiann tsiah png
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.40.wav,tsin tsiann si tsha khah ling tsau
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.41.wav,bue ai koh khi tsim tsiok i e si uah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.42.wav,tshut tsai i oo peh suan
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.43.wav,tiong tshiu tseh liau au
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.44.wav,u ban tioh tsap thong ngeh khah tua e iunn tho tau
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.45.wav,sim kuann lai thiong kah be koo tit
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.46.wav,lip lai tsau kha hiann tsui
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.47.wav,sah ho ka koo khi lai un suan liong tau iu
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.48.wav,sang jip khi tshui khang tshi kiam tsiann
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.49.wav,na poo bak thau na khioh kan
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.5.wav,than tshai iau bue tsiunn toh e si tsun
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.50.wav,kua kah thun bue loh khi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.51.wav,suah kui puann long tsong tshia loh khi phun thang khi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.52.wav,thiau kang koh khi ban khah se ngeh e tau a
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.53.wav,thiau kang king long bo tshiau kue tsap goo kong hun e
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.54.wav,kue thau tng e tio ka phah tshut khi lang gua
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.55.wav,kang khuan tshiat hoo tsit te tsit te phiann loh tiann te iong sah e
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.56.wav,tsha put to nng hun tsing tio ka hoo khi lai puann a ting
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.57.wav,un suan jiong tau iu tsun tso si siu a tsiah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.58.wav,phang koh iu ji
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.59.wav,phing ting kai e tau ngeh ke ho tsiah tsok tse
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.6.wav,kiann khi tsing tiann bong seh bong khuann iau u tam poh a jit hue a e tshai hng a
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.60.wav,me kak si tsap kau tsap goo kong hun siong iu siong tsinn e si tsun
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.61.wav,tsit tsam a lu senn lu ong
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.62.wav,suan ti tshiu le e tau ngeh tse kah tsiah be khi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.63.wav,ban bo e to pang hoo kua
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.64.wav,tsit ngeh tsit ngeh tshin tshiunn kuan to an ne tiau ti tshiu a ue hainn lai hainn khi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.65.wav,lau kau ban bo tioh e tau ngeh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.66.wav,kue tsit kang tio e sui kua khi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.67.wav,tse kah tau tin suan ti tsap tshioh kuan e un sik lai te
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.68.wav,guan pun tioh khuann bue kai tshing u tsiann tua e khan lian
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.69.wav,gua ka ti leh siunn
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.7.wav,tshue khuann tsu lang ka kam u am kham sann ho mih bo theh tshut lai tsu hoo lang kheh tsiah e
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.70.wav,na tsin tsiann beh tsing iunn tho tau
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.71.wav,thoo kha tshah goo tshioh tng e tik ki hoo i suan
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.72.wav,m kuan tua se ngeh long khuann hian hian
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.73.wav,tshun tshiu ma tham e tioh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.74.wav,tio be lau kau ban bo tioh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.75.wav,ma bue kua khi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.8.wav,hiong hiong siam tioh tsit tshok tsa to ta lian khi e tau tin tinn ti leh pin nng tsang e tshiu sin
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-3.9.wav,tng tng e tau ngeh tiau ti ting kuan hainn tsit e hainn tsit e
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.0.wav,bun tsiong li
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.1.wav,sin pu a
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.10.wav,tso lang ke au e si e sinn sinn kau be sinn
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.11.wav,soo i tshit sian lu peh iong ting bo sng siannh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.12.wav,senn tsit tann tsit kin e ma bo hi ki
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.13.wav,in ui tse lang tse hok khi mah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.14.wav,tshu li thau tshui tsiah ni tse
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.15.wav,tsue sit siu sing e tshenn tsiah to bo kau ah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.16.wav,beh na u thang tshun leh tso si se tshua boo e phing kim
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.17.wav,tso lang pe bu e
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.18.wav,ui tioh beh sing tsit tiau tsinn
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.19.wav,tio ka lang pun tu tshut si bo gua ku e tsa boo gin a enn tng lai io
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.2.wav,tsok tsia lim siu hua
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.20.wav,tse tio ho tso sin pu a lah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.21.wav,thing hau tsit e tsa boo gin a tng tua lang liau au
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.22.wav,tioh king tsit e ho jit tsi iah si than kue ni si a
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.23.wav,ka i ham ni hue siong tong e hau sinn sak tso tui
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.24.wav,hoo in tsiann tsue ang a boo
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.25.wav,lang kong tsa boo gin a tshai tsi a mia
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.26.wav,tsit ku ue na ing ti sin pu a e sin siong
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.27.wav,sit tsai si tau kah ba ba ba
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.28.wav,tse si an tsuann kong leh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.29.wav,gun a bu kah gun ta ke long si sin pu a tshi e
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.3.wav,i tsa long giap sia hue
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.30.wav,m koh ti gua e kam kak
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.31.wav,khiok si tsit lang tsit khuan mia
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.32.wav,a bu i kuai kha kut lat be khing hun
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.33.wav,koh senn tso sui sui ah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.34.wav,soo i tsiann tit lang thiann
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.35.wav,tok tok gun a tsik si put si to beh ka khi hu
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.36.wav,u tsit pai i khi tshan li
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.37.wav,thah tsit gu tshia e han tsi beh tshia tng lai
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.38.wav,gun hit e khok hing e a tsik
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.39.wav,king lian ka gu khan leh tng
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.4.wav,tso tshan lang khuann thinn tsiah png
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.40.wav,tiau koo i beh hoo a bu pinn bo lian
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.41.wav,ka tsai
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.42.wav,a kong a ma be ann kiann
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.43.wav,tian to me a tsik siunn m si khuan
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.44.wav,koh thiann kong gun pa a tsin kah i i
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.45.wav,kiann i khi hoo lang jiok khi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.46.wav,tak pai na khi tso kang
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.47.wav,long e thau thau a tue khi bih leh khuann i u kah pat e tsa poo lang kong ue bo
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.48.wav,ki sit a bu ping bo kah i phainn sing te e a pah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.49.wav,tsi si a kong kong kue
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.5.wav,tsit ni sin khoo phah piann e
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.50.wav,a bu na bo tso i e sin pu
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.51.wav,i si to be loh sim
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.52.wav,a bu kam liam a kong iong tshi e kong lo khah tua thinn
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.53.wav,tsi ho tah ing ham a pah kiat sing hu tshe
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.54.wav,gun ta ke kong in a nia ka i sang hoo lang liau to khi tsu sat
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.55.wav,iunn pe tsit ping khi hu i bo lau bu
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.56.wav,soo i tsu se han to ka i tong tsue tsa boo kan
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.57.wav,khang khue ai tso siang hun
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.58.wav,tsiah e tang uann tsit tng pa
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.59.wav,u tang si a koh tioh tsiah han tsi tshiam phue iam
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.6.wav,bue kham tit tsit pai e hong thai tua tsui
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.60.wav,sin khoo penn thiann ma bo thang tshua i khi hoo i sing khuann
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.61.wav,au lai ke hoo hong liu phiau phiat e tua hiann
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.62.wav,suah tioh kah lang kong ke ang sai
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.63.wav,i ka soo u e uan tsheh long khng ti sim kuann te
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.64.wav,tio sng kong tsiah lau kiann li sin pu long tsin sim iu hau
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.65.wav,ma bo huat too siau thau i it sing e put hing
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.66.wav,tsit ma tshiunn gun tsit pue e
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.67.wav,gin a si nng e tu tu ho e ni tai
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.68.wav,tsa boo kiann thiann to be hu ah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.69.wav,beh na u kho ling sang hoo pat lang leh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.7.wav,tio hoo thinn kong peh a siu siu khi
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.70.wav,soo i sin pu a tsit e mia su
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.71.wav,tsa tio bo liu hing ah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.8.wav,soo i tua poo hun long tsin san tshiah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-4.9.wav,hit tsun ma bo tsiat iok e kuan liam
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.0.wav,bun tsiong sann
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.1.wav,tiong tshiu koo kim tam
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.10.wav,tian to si kah ma tsoo po u kuan he
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.11.wav,guan lai hit si si long giap sia hue
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.12.wav,koh e tseh lit long kah sin bin u kuan he
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.13.wav,tiong tshiu ka tsiat
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.14.wav,ma tsoo po mui tsit kang lun liu kau kok tsng thau sun si
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.15.wav,hit kang kok tsng thau long ai pan sing le lai tse pai ma tsoo po
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.16.wav,am si koh ai tshiann lang kheh tau lau liat
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.17.wav,hit si tshan khang khue ma long tso uan ah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.18.wav,soo i gun lau pe e tshua gua khi tshin tsiann tau khi hoo lang tshiann
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.19.wav,tai kai mui ni long u tsit nng pai
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.2.wav,tsok tsia khu bun siah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.20.wav,gun tsng li e ma tsoo po kue thau si peh gueh tsap si
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.21.wav,ma si pai ma tsoo tshiann lang kheh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.22.wav,bo lang pai gueh niu tshiann siong ngoo
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.23.wav,tsap goo hit kang
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.24.wav,na si bo khi hoo lang tshiann
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.25.wav,tio ti tshu li tsiah gueh piann
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.26.wav,ni ni long kang khuan
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.27.wav,tioh si tsit lang tsit te phing se piann
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.28.wav,bo thang ke tsit te
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.29.wav,hit si e tsoh tshan lang long an ne
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.3.wav,tsit phinn bun tsiong khan tshut e si
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-5.30.wav,u tsinn pan sing le tshiann sin bing kah lang kheh
