index,wav_path,ground_truth,emotion,prediction,lev_distance
12,./data/wav_gen/wav/000012_indextts_sad.wav,ke lang sik tsi tshau suann u kau phann e pi khuann te too khah tsim tsiok,sad,ke e lang sik tsi，tshau suann u kau pha e，pi khuann te too khah tsim tsiok,6
13,./data/wav_gen/wav/000013_indextts_disgusted.wav,tse si pak ping nia li uat thau khuann lam khi,disgusted,tse si pak pin ngia，li uah thau khuann lam khi,4
14,./data/wav_gen/wav/000014_indextts_happy.wav,kong king sit tsai tsan ang ang he si siann,happy,kong kin sit tsai tsan，ang ang he si siann,2
15,./data/wav_gen/wav/000015_indextts_surprised.wav,gua khuann mai leh he ping khe lah,surprised,uah khuann mai leh，he pin khe lah,4
16,./data/wav_gen/wav/000016_indextts_neutral.wav,gua tsai ah hit thau uat lai uat khi na tsit bue peh tsua e si sik tsi thang ping khe e sik ping kong loo,neutral,gua tsai a，hit thau gua lai gua khi na tsit bue peh tsuai si tsi thang ping khe e sit ping kong loo,12
17,./data/wav_gen/wav/000017_indextts_disgusted.wav,kok tiong khah kue lai to si tsioh sun tsiam,disgusted,kok tiong khah kue lai to si tsioh sun tsiam,0
18,./data/wav_gen/wav/000018_indextts_fearful.wav,bo siann sing tik sun neh,fearful,bo sia sing tik sun neh,2
19,./data/wav_gen/wav/000019_indextts_disgusted.wav,ui ping khe hit ping khuann kue lai toh tsin sing,disgusted,hui ping khe hit ping khuann kue lai，to tsin sing,3
20,./data/wav_gen/wav/000020_indextts_angry.wav,tan thinn khi khah liang e si lan e sai lai khi hia tshit tho,angry,tan thinn khi khah liang e si，lan e sai lai khi hia tshit tho,1
21,./data/wav_gen/wav/000021_indextts_surprised.wav,li u kau gua hang siann mih sann ki hiunn he si hiap ho huat tian tshiunn,surprised,li u kau kua hang siann mih sa ki hiunn，he si hiah pho hua tian tshiunn,7
22,./data/wav_gen/wav/000022_indextts_surprised.wav,lang teh kong tshio e lah bian hiah ting tsin,surprised,lang leh kong tshio e lah，bian hiah ting tsin,2
23,./data/wav_gen/wav/000023_indextts_angry.wav,bun peh a tsiann tshiu ping hit liap,angry,gun pe a，tsiah tshiu ping hit liap,5
24,./data/wav_gen/wav/000024_indextts_surprised.wav,hit liap kio tso ke lang khit koh khah kue lai hit liap to si ke lang suann,surprised,hit liap kio tsoo，ke lang khit koh khah kue lai hit liap to si，ke lang suann,3
25,./data/wav_gen/wav/000025_indextts_neutral.wav,to si ti kau hun a hu kin mah kin ni sann gueh gun u khi hia tshit tho,neutral,too si ti kau hun a hu kin mah，kin ni sann ue，un u khi hia tshit thoo,7
26,./data/wav_gen/wav/000026_indextts_disgusted.wav,tsit khuan thinn peh ke lang suann pau nia li phak kah pinn poo,disgusted,tsit khuan thi peh ke lang suann，pau nia li pha copy poo,11
27,./data/wav_gen/wav/000027_indextts_angry.wav,kui liap suann bo kui tsang tshiu a thang jia lit thau,angry,kui liap suann，bo kui tsang tshiu a thang jiah lit thau,2
28,./data/wav_gen/wav/000028_indextts_surprised.wav,to ping hng hng siong kuan hit liap suann si m si tshit tshenn suann,surprised,too pin hng hng siong kuan khi liah sua si m si tshit tshenn sua,9
29,./data/wav_gen/wav/000029_indextts_fearful.wav,iong siang kha ai tai uan,fearful,iong siang kha ai tai uan,0
30,./data/wav_gen/wav/000030_indextts_surprised.wav,koh tui tai uan bue kiann kau tai uan thau,surprised,kok tui tai uan bueh kiann kau tai uan thau,2
31,./data/wav_gen/wav/000031_indextts_sad.wav,tsit poo tsit kha in,sad,tsit poo tsit kha in,0
32,./data/wav_gen/wav/000032_indextts_neutral.wav,iong siong khiam pi e thai too,neutral,iong siong khiam B e thai too,2
33,./data/wav_gen/wav/000033_indextts_disgusted.wav,khi tshin kin tsit te tshiann iong ka ti e thoo te,disgusted,khi tshin king tsit te tshiann iong ka ti e thoo te,1
34,./data/wav_gen/wav/000034_indextts_neutral.wav,khuann tioh lik sik e suann meh uan lai uat khi e ho liu sik sai e tshan hng,neutral,khuann tioh liok sioh e suann me，uan ai ua ki e hoo liu，sioh sai e than hng,13
35,./data/wav_gen/wav/000035_indextts_fearful.wav,sun phok e hiong tin be lang e hai huann hiong tshin tshin tshiat e tshio iong,fearful,sun phok e hiong tin peh lang e hai hua，hiong tshin tshiat e tshio iong,11
36,./data/wav_gen/wav/000036_indextts_surprised.wav,sim kuann thau tiann tioh u mua mua e kam tshiok kah kam tong,surprised,sin kuann thau tiann tioh u mua mua e kam tshiok，ka kam tong,3
37,./data/wav_gen/wav/000037_indextts_surprised.wav,terry si tsit e tsin u li siong kah tsu kian e tshing tshun siau lian hiann,surprised,Tary si tsit e tsin u li siong kah tsu kian e tshin tshun siau lian hia,6
38,./data/wav_gen/wav/000038_indextts_disgusted.wav,i kam guan tsiam si hong ha kho ki kong si lang lang him sian e khang khue,disgusted,i kam guan tsiam si hong ha khoo ki kong si，lang lang him sian eh khang khue,3
39,./data/wav_gen/wav/000039_indextts_disgusted.wav,hoo ka ti tsit e a khong kan,disgusted,hoo ka ti tsit e a khong kan,0
40,./data/wav_gen/wav/000040_indextts_neutral.wav,tsok tsia iunn tsin ju,neutral,soo tsia，iunn tsin lu,4
41,./data/wav_gen/wav/000041_indextts_neutral.wav,khi tiong sin jin bat tai uan,neutral,khi tiong sin jin bat tai uan,0
42,./data/wav_gen/wav/000042_indextts_neutral.wav,ping tshiann su kho lin sing e tsin gi,neutral,ping tshiann su kho lin sing e tsin i,1
43,./data/wav_gen/wav/000043_indextts_angry.wav,i beh tsit poo a tsit poo a,angry,i be tsit poo a tsit poo a,1
44,./data/wav_gen/wav/000044_indextts_happy.wav,iong ka ti e siang kha kiann tai uan tsit lian,happy,iong ka ti e siang kha kiann tai uan tsit lian,0
45,./data/wav_gen/wav/000045_indextts_sad.wav,in tsing ka ti e siunn huat,sad,in tsin ka ti e siu huat,3
46,./data/wav_gen/wav/000046_indextts_fearful.wav,ma tshue tshut sinn mia tsing khak e hong hiong kah ting ui,fearful,ma tshue tshu si mia tsin khak e hong hiong kah tin ui,5
47,./data/wav_gen/wav/000047_indextts_happy.wav,i tsit e sim guan toh tsiong kin beh uan sing ah,happy,i tsi e sin gua to tsiong kin peh uan sin a,7
48,./data/wav_gen/wav/000048_indextts_sad.wav,ku ni tsap it gueh ji ji i tui tai tiong tshut huat,sad,ku ni tsa it kue ji ji，i tui tai tiong tshut huat,4
49,./data/wav_gen/wav/000049_indextts_surprised.wav,i sun si tsiam e hong sik sing tsiunn pak,surprised,i sun si tsiah me hong sip sing tsiunn pak,3
50,./data/wav_gen/wav/000050_indextts_surprised.wav,kiann kau ke lang liau au tsiah loh lam,surprised,kia kau ke lang liau au tsiah loh lam,2
51,./data/wav_gen/wav/000051_indextts_sad.wav,tai uan u gua sui,sad,tai uan u gua sui,0
52,./data/wav_gen/wav/000052_indextts_neutral.wav,king kue hua lian tai tang,neutral,kin kue hua lian tai tang,1
53,./data/wav_gen/wav/000053_indextts_surprised.wav,jim nai tioh kha kut e sng thiann kah tsit loo e koo tuann,surprised,gim lai tiok kha kut e sng thiann kah tsit loo e koo tuann,3
54,./data/wav_gen/wav/000054_indextts_disgusted.wav,tsit loo it tit kiann kau tai uan siong lam ping e go luan phinn,disgusted,tsit loo it ti kiann kau tai uan siong lam ping e goo luan phi,4
55,./data/wav_gen/wav/000055_indextts_sad.wav,tsiah koh tsiunn pak,sad,tsiah koh tsiu pah,3
56,./data/wav_gen/wav/000056_indextts_disgusted.wav,hian tsu si i i king kiann kau tai lam tshi kiam tsui khu e guat tin kang ah,disgusted,hian tsu si i i king kiann kau tai lam tshi，kiam tsui ku e gua tin kang a,4
57,./data/wav_gen/wav/000057_indextts_fearful.wav,tng ti tai uan si loo hu kin teh tsiah tau gim si phue ka pi ah,fearful,tng ti tai uan si loo hu kin teh tsiah tau，kim si phue ka pi a,3
58,./data/wav_gen/wav/000058_indextts_angry.wav,siong kai lan tit e si,angry,siong kai lan tik e si,1
59,./data/wav_gen/wav/000059_indextts_disgusted.wav,terry u tsit tui khai bing e pe bu,disgusted,Tary u tsit tui khai bing e pe bu,3
60,./data/wav_gen/wav/000060_indextts_angry.wav,tui i tsit khuan long ban kah u tam poh a bo hu hap sit tse e siunn huat ping bo huan tui,angry,tui tsit khuan dong buan ka u tam poo a boo hu hap sit tse e siu huat ping boo huan tui,10
61,./data/wav_gen/wav/000061_indextts_neutral.wav,tian to tsuan lik tsi tshi,neutral,tian to tsuan lik ji tshi,2
62,./data/wav_gen/wav/000062_indextts_angry.wav,li kam tsai iann,angry,li kam tsai iann,0
63,./data/wav_gen/wav/000063_indextts_angry.wav,ping tshiann ti i khuan to poo lian i king tsiong kin beh uan sing e bue tsam a,angry,ping tshiann ti i khuan too poo lian，i kin tshiong kin be uan sing e bue tsam a,5
64,./data/wav_gen/wav/000064_indextts_surprised.wav,tik piat puah si kan pue i kiann tsit tuann,surprised,tik piat puah si kan pue i kiann tsit tuann,0
65,./data/wav_gen/wav/000065_indextts_surprised.wav,hoo i tsing sin siong siong tua e koo bu,surprised,hoo i tsin sin siong siong tua e koo bu,1
66,./data/wav_gen/wav/000066_indextts_disgusted.wav,u bang siong sui,disgusted,u bang siong sui,0
67,./data/wav_gen/wav/000067_indextts_happy.wav,u li siong tioh ai iong kam khi tui kiu,happy,u li siong tioh ai iong kam khi tui kiu,0
68,./data/wav_gen/wav/000068_indextts_neutral.wav,lan lang sing uah ti tsit e se kan,neutral,lan lang si uann ti tsit e se kan,4
69,./data/wav_gen/wav/000069_indextts_fearful.wav,tu liau it tsai tiong hok e lit siong tsiah tshing i gua,fearful,tu liau it tsai tiong hok e li siong tsiah tshin i ua,3
70,./data/wav_gen/wav/000070_indextts_angry.wav,iau u tsan tshu koh khah kuan e li siong,angry,iau u tsan tshu koh khah kua ne li siong,2
71,./data/wav_gen/wav/000071_indextts_fearful.wav,su iau khi tui kiu khi sit hian,fearful,su iau khi tui kiu khi sit hian,0
72,./data/wav_gen/wav/000072_indextts_happy.wav,ti lan ling lik iau tso e kau e si tsun,happy,ti lan lin li ia tso e kau e si tsun,3
73,./data/wav_gen/wav/000073_indextts_neutral.wav,tai uan lang kau kau kau e lin tsing bi,neutral,tai uan lang kauh kauh kauh e lin tsing bi,3
74,./data/wav_gen/wav/000074_indextts_surprised.wav,na si kiann khun lan,surprised,na si kiann khun lan,0
75,./data/wav_gen/wav/000075_indextts_neutral.wav,tshin tshai tioh hong khi tui kiu bang siong e ki hue,neutral,tshin tshai tioh hong khi tui kiu bang siong e ki hue,0
76,./data/wav_gen/wav/000076_indextts_neutral.wav,tan kau au pai tsiah lai huan hue,neutral,tan kau au pai tsiah lai huan hue,0
77,./data/wav_gen/wav/000077_indextts_surprised.wav,he tioh siunn ban ah,surprised,he tioh siunn ban a,1
78,./data/wav_gen/wav/000078_indextts_sad.wav,khuan to poo lian si tsit kiann sin khoo e tai tsi,sad,khuan to poo lian si tsit kiann sin khoo e tai tsi,0
79,./data/wav_gen/wav/000079_indextts_angry.wav,tu liau ai u tsiu tsuan e ke ue the lat ai ho i gua,angry,tu liau ai u tsiu tsuan e ke ue，the lat ai ho i ua,2
80,./data/wav_gen/wav/000080_indextts_disgusted.wav,siong tiong iau e si ai u kian kiong e i tsi lat,disgusted,siong tiong iau e si，ai u kian kiong e i tsit lah,3
81,./data/wav_gen/wav/000081_indextts_neutral.wav,tsiah thang khik hok ian loo tu tioh e kok tsiong siunn be kau e lan te,neutral,tsiah thang khio hoo ian loo tu tioh e，kok tsiong tshiunn be kau e lan te,5
82,./data/wav_gen/wav/000082_indextts_angry.wav,kiong hi terry khuan to poo lian,angry,kiong hi the lih，khuan tau poo lian,8
83,./data/wav_gen/wav/000083_indextts_fearful.wav,iong siang kha ai tai uan e bong siong tih beh uan sing ah,fearful,iong siang kha ai tai uan e mng siong，ti pe uan sing a,7
84,./data/wav_gen/wav/000084_indextts_sad.wav,li kam bat kam siu tioh,sad,li kam bah kam siu tioh,1
85,./data/wav_gen/wav/000085_indextts_fearful.wav,kian tshi loh khi,fearful,kian tshi too khi,2
86,./data/wav_gen/wav/000086_indextts_neutral.wav,siong sin it ting e sing kong,neutral,siong sin it ting e sin kong,1
87,./data/wav_gen/wav/000087_indextts_surprised.wav,lim ping tik sin sinn kah i e pe bu kang khuan,surprised,lin pin tik sin sinn，kah i e pe bu kang khuan,3
88,./data/wav_gen/wav/000088_indextts_surprised.wav,long si jin tsin phah piann kha tah sit te,surprised,long si jin tsin phah piann，kha tah si te,2
89,./data/wav_gen/wav/000089_indextts_happy.wav,iong sit tse e hing tong thiann tai uan e lang,happy,iong sit tse hin tong thiah tai uan e lang,5
90,./data/wav_gen/wav/000090_indextts_happy.wav,iong tshim tsing e bak tsiu,happy,iong tshin tsing e bak tsiu,1
91,./data/wav_gen/wav/000091_indextts_happy.wav,khuann tai uan tsit liap bi le e to su,happy,khuah tai uan tsit liap bi le e to su,2
92,./data/wav_gen/wav/000092_indextts_neutral.wav,iong nng ki kha tui tai uan thau kiann kau tai uan bue,neutral,iong nng ki kha，tui tai uan thau kiann kau tai uan bue,1
93,./data/wav_gen/wav/000093_indextts_sad.wav,tai uan e kiau ngoo,sad,tai uan e kiau moo,2
94,./data/wav_gen/wav/000094_indextts_happy.wav,se kai kip e to ian li an kah gui tik sing,happy,tse kai kit e too ian li an kah gui tik sit,5
95,./data/wav_gen/wav/000095_indextts_disgusted.wav,kian tshi thau bue e o un suan tshiu soo le bun,disgusted,kian tshi thau bue e oh un suan tshiu，tsoo le bun,3
96,./data/wav_gen/wav/000096_indextts_sad.wav,suann kiu ko tshiu tsan nga ni ting ting,sad,suann kiu ko tshiu tsan ga ni，tim ting,4
97,./data/wav_gen/wav/000097_indextts_happy.wav,in tsiah si lan sio sio e tai uan tshiann iong tshut lai,happy,in tsiah si lan siok siok e tai uan tshia iong tshut lai,4
98,./data/wav_gen/wav/000098_indextts_sad.wav,ti se kai bu tai ting huat kng huat jiat,sad,ti se kai bu tai ting huat kng huat tsi,4
99,./data/wav_gen/wav/000099_indextts_fearful.wav,si tat tit lan kam kak kiau ngoo e jin but,fearful,si tat tit lan kang kah kiau ngoo e lin but,4
100,./data/wav_gen/wav/000100_indextts_neutral.wav,na kong tioh tai uan e kiau ngoo,neutral,na kong tioh tai uan e kiau ngoo,0
101,./data/wav_gen/wav/000101_indextts_sad.wav,li te li e siunn tioh e,sad,li te li e siunn tioh e,0
102,./data/wav_gen/wav/000102_indextts_sad.wav,it ting si tai uan phong phai e but tsu,sad,it ting si tai uan phong phai e bu tsu,1
103,./data/wav_gen/wav/000103_indextts_fearful.wav,in ui tai uan lang thau nau khiau gau pian khiau,fearful,in ui tai uan lang thau nau khiau，kau pian khiau,2
104,./data/wav_gen/wav/000104_indextts_neutral.wav,tsok tsia lim siu hua,neutral,tsok tsia，lin tshiu hua,4
105,./data/wav_gen/wav/000105_indextts_fearful.wav,bo lun kue tsi lan hue iah tsui san,fearful,bo lun kue tsi，lang hue iah tsui san,2
106,./data/wav_gen/wav/000106_indextts_neutral.wav,tsi iau king kue tai uan lang e kai liong,neutral,tsi iau kin kue tai uan lang e kai liu,4
107,./data/wav_gen/wav/000107_indextts_surprised.wav,long e gian huat tshut it too tsan e phin tsing,surprised,long e gin huah tshu，it too tsan e phin tsing,4
108,./data/wav_gen/wav/000108_indextts_fearful.wav,hoo tsuan se kai o lo lan e kue tsi tua koh tinn,fearful,hoo tsuan se kai，o loo lan e kue tsi tua kok tinn,3
109,./data/wav_gen/wav/000109_indextts_fearful.wav,lan hue phang koh sui,fearful,lang hue phang koh sui,1
110,./data/wav_gen/wav/000110_indextts_sad.wav,tsui san tshinn koh ho tsiah,sad,tsui san tshi，koh ho tsiah,3
111,./data/wav_gen/wav/000111_indextts_disgusted.wav,ma in ui an ne,disgusted,ma in ui an ne,0
112,./data/wav_gen/wav/000112_indextts_angry.wav,soo i e tang gua siau than gua hue,angry,soo i e tang gua siau than gua hue,0
113,./data/wav_gen/wav/000113_indextts_happy.wav,iáh koh u i tsa long giap sia hue e tai uan u su po te bi thng kap tsiunn lo,happy,i koh u，i tsa long iah sia hue e tai uan u su po te mih thng kap tsiunn lo,7
114,./data/wav_gen/wav/000114_indextts_angry.wav,tsit mainnh kang giap sia hue e tai uan si tian nau ic led kap tsin tse ko kho ki e san phin,angry,tsit mai kang kak sia hue e tai uan si tian nau，IC AB ki kah tsin tse ko kho gi e sa ki,20
115,./data/wav_gen/wav/000115_indextts_fearful.wav,na mng li tai uan e kiau ngoo si siann mih,fearful,na mng li tai uan e kiau ngoo si siann mih,0
116,./data/wav_gen/wav/000116_indextts_neutral.wav,hing siau tsuan kiu e bi le to,neutral,hi siau tsuan kiu e bi le too,3
117,./data/wav_gen/wav/000117_indextts_disgusted.wav,tse si lan tai uan lang e hiau pa ap si ki un iong ti hui,disgusted,tse si lan tai uan lang e hiau pak ap si ki un iong ti hui,1
118,./data/wav_gen/wav/000118_indextts_happy.wav,jin tsin phah piann tshong tso tshut lai e king tse ki tsik,happy,lin tsin phah piah，tshong tsoo tshu lai kin tseh ki tsit,11
119,./data/wav_gen/wav/000119_indextts_disgusted.wav,ma si lan siong kiau ngoo e sing tsiu,disgusted,ma si lan siong kiau ngoo e sin tsiu,1
120,./data/wav_gen/wav/000120_indextts_sad.wav,lang kong tai uan liam tsin tsing kap tak ke lai puah kam tsing,sad,lang kong tai uan tiam tsin tsing kah tak ke lai puah kam tsing,2
121,./data/wav_gen/wav/000121_indextts_happy.wav,tai uan sio lo e jin tsing bi,happy,tai uan sio lo e jin tsin bi,1
122,./data/wav_gen/wav/000122_indextts_disgusted.wav,hoo tsin tse bat lai tai uan tshit tho,disgusted,hoo tsin tse bat lai tai guan tshit tho,1
123,./data/wav_gen/wav/000123_indextts_surprised.wav,iah si tua kue e gua kok lang long o lo kah e tak tsih,surprised,ia si tua kue e gua kok lang，long o lo kai e tat tsi,5
124,./data/wav_gen/wav/000124_indextts_surprised.wav,bat u tsit ui tui jit pun lai e tsin tshut mia e bing tshenn kong,surprised,bah u tsit ui tui jit pun lai e，tsin tshut mia e bin tshe kong,5
125,./data/wav_gen/wav/000125_indextts_fearful.wav,in ui tai uan lang e tshin tshiat,fearful,in ui tai uan lang e tshin tsheh,3
126,./data/wav_gen/wav/000126_indextts_sad.wav,li thau tsit e siunn tioh e it ting si tsit tsam a tshing kah liah be tiau e bi kok tsit giap na kiu tui e suan tshiu lim su ho,sad,li thau tsit e siunn tioh e，it ting si tsit tsam a tshing kah liah be tiau e bi kong tsit iap na kiu tui e suan tshiu lim su ho,4
127,./data/wav_gen/wav/000127_indextts_angry.wav,hoo gua tshim tshim be luan tai uan,angry,hoo ua tshim tshim be luan tai uan,1
128,./data/wav_gen/wav/000128_indextts_neutral.wav,soo i toh sng lai tsia tshit tho tsap kui pai,neutral,soo i to sng lai tsia tshit tho tsa kui pai,2
129,./data/wav_gen/wav/000129_indextts_happy.wav,ma be ia sian,happy,ma be a sian,1
130,./data/wav_gen/wav/000130_indextts_happy.wav,in ui ti tai uan,happy,in ui ti tai uan,0
131,./data/wav_gen/wav/000131_indextts_sad.wav,tak ke long ka gua tong tso si ka ti lang,sad,tak ke long ka gua tong tso si ka ti lang,0
132,./data/wav_gen/wav/000132_indextts_sad.wav,guan lau su ma bat tu tioh tsit e ti tai uan tsiah thau loo e gua kok lang,sad,guan lau su ma bat tu tioh tsit e ti tai uan tsiah thau loo e gua kok lang,0
133,./data/wav_gen/wav/000133_indextts_angry.wav,in ui beh hoo lang tiau khi tiong kok,angry,in ui beh hoo lang tiau khi tiong kok,0
134,./data/wav_gen/wav/000134_indextts_happy.wav,kam kak tsin ut tsut,happy,kang kak tsin uat tsut,3
135,./data/wav_gen/wav/000135_indextts_fearful.wav,i kong tai uan tsit si ke long tshiong buan sio lo e jin tsing bi,fearful,i kong tai uan tsit si ke long tshiong buan sio loo e jin tsin bi,2
136,./data/wav_gen/wav/000136_indextts_angry.wav,si tsit e e hoo lang siau liam e ho soo tsai,angry,si tsit e e hoo lang siau liam e hoo soo tsai,1
137,./data/wav_gen/wav/000137_indextts_angry.wav,lim su ho sui lian hoo lan kam kak tsin kiau ngoo,angry,lin su ho sui lian hoo lan kang ka，tsin kiau ngoo,5
138,./data/wav_gen/wav/000138_indextts_surprised.wav,tong jian hoo lang siong kiau ngoo e soo tsai si,surprised,tong lian hoo lang siong kiau ngoo e soo tsai si,1
139,./data/wav_gen/wav/000139_indextts_happy.wav,tai uan si ti hua jin se kai te it e sit si bin tsu tse too e kok ka,happy,tai uan si ti hua lin se kai te it e si si，bin tsu tse too e kok ka,3
140,./data/wav_gen/wav/000140_indextts_fearful.wav,it kiu pat liok ni i au,fearful,i kiu pat liau ni i au,3
141,./data/wav_gen/wav/000141_indextts_fearful.wav,tsing ti kai kik e sok too lu lai lu kin,fearful,tsin ti kai kik e sok too lu la lu kin,2
142,./data/wav_gen/wav/000142_indextts_surprised.wav,pau kuat it kiu pat tshit ni kai tu kai giam huat,surprised,pau kuat it kiu pat tshit ni kai tu kai ngiam huat,1
143,./data/wav_gen/wav/000143_indextts_neutral.wav,sit si tsu iu hua tsing tshik,neutral,si si tsu iu huah tsing tshik,2
144,./data/wav_gen/wav/000144_indextts_sad.wav,kau it kiu kiu liok ni tsong thong tit suan,sad,kau it kiu kiu liok ni，tsong thong tit suan,1
145,./data/wav_gen/wav/000145_indextts_neutral.wav,sng si huah tshut bin tsu tsuan hing e tsit tua poo,neutral,sng si huah tshut bin tsu tsuan hing e tsit tua poo,0
146,./data/wav_gen/wav/000146_indextts_surprised.wav,nng tshing ni tsong thong tai suan e kiat ko,surprised,nng tshing ni tsong thong tai suan e ki ko,2
147,./data/wav_gen/wav/000147_indextts_surprised.wav,si tai uan te it pai e tsing tong lun the,surprised,si tai uan te it pai e tsing tong lun the,0
148,./data/wav_gen/wav/000148_indextts_happy.wav,m koh i ping m si lan tai uan pue iong tshut lai e,happy,m koh i ping si lan tai uan pue iong tshut lai,4
149,./data/wav_gen/wav/000149_indextts_neutral.wav,lan king lik ho ping tsuan i tsip tsing khuan e kue ting,neutral,lan king liau hoo ping tsuan i tsit tsing khuan e kue ting,4
150,./data/wav_gen/wav/000150_indextts_disgusted.wav,hoo tai uan e bin tsu hua siu tioh se hong bin tsu kok ka e khing ting,disgusted,hoo tai uan e bin tsu hua siu tioh se hong bin tsu kok ka e khin ting,1
151,./data/wav_gen/wav/000151_indextts_disgusted.wav,lan u tsiah ni tse tat tit tshia iann e tsu san,disgusted,lang u tsiah ni tse tat tit tshia iann e tsu san,1
152,./data/wav_gen/wav/000152_indextts_angry.wav,lan u ho tioh ai tsai sioh po,angry,lan u ho tioh ai tsai sio po,1
153,./data/wav_gen/wav/000153_indextts_happy.wav,m thang tshin tshai pang hinn sat,happy,m thang tshin tshai pang hinn sak,1
154,./data/wav_gen/wav/000154_indextts_neutral.wav,lan tioh ai bo hun tsok kun hue tse phah piann,neutral,lan tioh ai boo hun tsok kun，hue tse phah piann,2
155,./data/wav_gen/wav/000155_indextts_disgusted.wav,kiong tong tshong tso koh khah tse tai uan tsi kong,disgusted,kiong tong tshong tsoo koh khah tse tai uan tsit kong,2
156,./data/wav_gen/wav/000156_indextts_angry.wav,kiong tong kian siat tsit e tsing siong e kok ka,angry,kiong tong kian sik tsit e tsin siong e kok ka,3
157,./data/wav_gen/wav/000157_indextts_sad.wav,hoo lan e tang tua siann tui tsuan se kai huah tshut,sad,hoo lan e tang tua siann tui tsuan se kai，huah tshut,1
158,./data/wav_gen/wav/000158_indextts_disgusted.wav,gua si tai uan lang,disgusted,gua si tai uan lang,0
159,./data/wav_gen/wav/000159_indextts_happy.wav,i si ti bi kok tshut si,happy,i si ti bi kok tshut si,0
160,./data/wav_gen/wav/000160_indextts_neutral.wav,tse tsiah si tai uan siong tua e kiau ngoo,neutral,tse tsia si tai uan siong tua e kiau ngoo,1
161,./data/wav_gen/wav/000161_indextts_angry.wav,li kong tioh bo,angry,li kong tioh bo,0
162,./data/wav_gen/wav/000162_indextts_fearful.wav,tsiap siu bi kok kau iok e bi kok lang,fearful,tsia siu bi koo kau ioh e bi koo lang,4
163,./data/wav_gen/wav/000163_indextts_angry.wav,soo i gua jin ui tsin tsin tsiann tsiann e tai uan tsi kong si ia kiu tau tshiu ong kian bin,angry,soo i gua tin ui tsin tsin tsiann tsiann e tai uan tsi kong si iah kiu tau tshiu ong kian bin,2
164,./data/wav_gen/wav/000164_indextts_neutral.wav,gua siong ai e lang,neutral,gua siong ai e lang,0
165,./data/wav_gen/wav/000165_indextts_sad.wav,tsin han tit u khah tng e si kan tso hue,sad,tsin han tit u khah tng e si kan tso hue,0
166,./data/wav_gen/wav/000166_indextts_fearful.wav,soo i tsu se han kau tann,fearful,soo i tsu se han kau ta,2
167,./data/wav_gen/wav/000167_indextts_sad.wav,long si a ma teh tsiau koo gua,sad,long si a ma leh tsiau koo uah,3
168,./data/wav_gen/wav/000168_indextts_happy.wav,ka gua lak sai lak lio,happy,ka gua lak sai lak liu,1
169,./data/wav_gen/wav/000169_indextts_happy.wav,kiann gua iau kiann gua kuann,happy,kiann gua iau，kiann gua kuann,1
170,./data/wav_gen/wav/000170_indextts_angry.wav,ui gua ang ang luan luan tshua kau tann tsiah tua han,angry,ui gua ang ang luan luan，tshua kau tann tsiah tua han,1
171,./data/wav_gen/wav/000171_indextts_surprised.wav,soo i a ma si gua sim tiong siong tshin siong ai e lang,surprised,soo i a ma siu a sim tiong siong tshin siong ai e lang,3
172,./data/wav_gen/wav/000172_indextts_fearful.wav,gua bat thiann a ma kong gua se han e si tsiann ai khau,fearful,gua tah thiann a ma kong gua se han e si tsiah ai khau,4
